instance,sha256,n,solver,arithmetic,known,status,minimum,median_seconds,detail
datasets\scaling\tsukuba_crop_1x1.max,f366b95fe2d88f43ea27cb3f0458cc099f2f1d285734028860ee21874c63ecef,1,orlin_double,IEEE 754 binary64,0,PASS_KNOWN,0,3.2e-06,
datasets\scaling\tsukuba_crop_1x1.max,f366b95fe2d88f43ea27cb3f0458cc099f2f1d285734028860ee21874c63ecef,1,julia,Float64,0,PASS_KNOWN,0,8.12e-05,
datasets\scaling\tsukuba_crop_1x1.max,f366b95fe2d88f43ea27cb3f0458cc099f2f1d285734028860ee21874c63ecef,1,matlab,Float64,0,PASS_KNOWN,0,0.0041073,
datasets\scaling\tsukuba_crop_2x2.max,a3231b45ba85188496cff68e431db64e07f78d2724c07f855badef9edff1ed0c,4,orlin_double,IEEE 754 binary64,0,PASS_KNOWN,0,2.08e-05,
datasets\scaling\tsukuba_crop_2x2.max,a3231b45ba85188496cff68e431db64e07f78d2724c07f855badef9edff1ed0c,4,julia,Float64,0,PASS_KNOWN,0,0.0004617,
datasets\scaling\tsukuba_crop_2x2.max,a3231b45ba85188496cff68e431db64e07f78d2724c07f855badef9edff1ed0c,4,matlab,Float64,0,PASS_KNOWN,0,0.0049723,
datasets\scaling\tsukuba_crop_3x3.max,3a57ccdee6180669cde419f92e4c2bf1d527e8bd6ccb6bce2a58446abbd5ee76,9,orlin_double,IEEE 754 binary64,0,PASS_KNOWN,0,2.96e-05,
datasets\scaling\tsukuba_crop_3x3.max,3a57ccdee6180669cde419f92e4c2bf1d527e8bd6ccb6bce2a58446abbd5ee76,9,julia,Float64,0,PASS_KNOWN,0,0.0002018,
datasets\scaling\tsukuba_crop_3x3.max,3a57ccdee6180669cde419f92e4c2bf1d527e8bd6ccb6bce2a58446abbd5ee76,9,matlab,Float64,0,PASS_KNOWN,0,0.005745,
datasets\scaling\tsukuba_crop_4x4.max,130ed4b3e6f7e03d09359512b7625e2956b66c301a1cefe11b8f88e5c12133f0,16,orlin_double,IEEE 754 binary64,0,PASS_KNOWN,0,0.0002053,
datasets\scaling\tsukuba_crop_4x4.max,130ed4b3e6f7e03d09359512b7625e2956b66c301a1cefe11b8f88e5c12133f0,16,julia,Float64,0,PASS_KNOWN,0,0.0018071,
