instance,sha256,n,solver,arithmetic,known,status,minimum,median_seconds,detail
datasets\varied\concave_n10.sfm,8aa12f7957b0c47a3cef56c7e52152827aca622df0affd6de8da31851a7e1304,10,orlin,Boost cpp_rational,-6,PASS_KNOWN,-6,0.0086493,
datasets\varied\concave_n10.sfm,8aa12f7957b0c47a3cef56c7e52152827aca622df0affd6de8da31851a7e1304,10,orlin_double,IEEE 754 binary64,-6,PASS_KNOWN,-6,0.0023754,
datasets\varied\concave_n10.sfm,8aa12f7957b0c47a3cef56c7e52152827aca622df0affd6de8da31851a7e1304,10,julia,Float64,-6,PASS_KNOWN,-6,0.000145,
datasets\varied\concave_n10.sfm,8aa12f7957b0c47a3cef56c7e52152827aca622df0affd6de8da31851a7e1304,10,matlab,Float64,-6,PASS_KNOWN,-6,0.001841,
datasets\varied\concave_n100.sfm,2dca0be8843d621f765bd4b9da06fee38775bc7f9db1b9176a46fe04a1ded581,100,orlin,Boost cpp_rational,-60,TIMEOUT,,,600.0s process budget
datasets\varied\concave_n100.sfm,2dca0be8843d621f765bd4b9da06fee38775bc7f9db1b9176a46fe04a1ded581,100,orlin_double,IEEE 754 binary64,-60,FAILED,,,"exit 1: orlin_benchmark: Orlin invariant failure: chosen gamma does not preserve V^0
 "
datasets\varied\concave_n100.sfm,2dca0be8843d621f765bd4b9da06fee38775bc7f9db1b9176a46fe04a1ded581,100,julia,Float64,-60,PASS_KNOWN,-60,0.5330081,
datasets\varied\concave_n100.sfm,2dca0be8843d621f765bd4b9da06fee38775bc7f9db1b9176a46fe04a1ded581,100,matlab,Float64,-60,PASS_KNOWN,-60,0.0412935,
datasets\varied\concave_n140.sfm,4c7c886ee9e753abcc36b8e3c3dbcf0621a80fdd9cc5e3e82d1e67a287fe0b85,140,orlin,Boost cpp_rational,-84,TIMEOUT,,,600.0s process budget
datasets\varied\concave_n140.sfm,4c7c886ee9e753abcc36b8e3c3dbcf0621a80fdd9cc5e3e82d1e67a287fe0b85,140,orlin_double,IEEE 754 binary64,-84,FAILED,,,"exit 1: orlin_benchmark: Orlin invariant failure: chosen gamma does not preserve V^0"
datasets\varied\concave_n140.sfm,4c7c886ee9e753abcc36b8e3c3dbcf0621a80fdd9cc5e3e82d1e67a287fe0b85,140,julia,Float64,-84,PASS_KNOWN,-84,3.2631756,
datasets\varied\concave_n140.sfm,4c7c886ee9e753abcc36b8e3c3dbcf0621a80fdd9cc5e3e82d1e67a287fe0b85,140,matlab,Float64,-84,PASS_KNOWN,-84,0.0517594,
datasets\varied\concave_n25.sfm,509df07c8167a019567263d4ca05506d4e8cb30c5e5450f9e6b1f6463299122b,25,orlin,Boost cpp_rational,-15,PASS_KNOWN,-15,5.0954275,
datasets\varied\concave_n25.sfm,509df07c8167a019567263d4ca05506d4e8cb30c5e5450f9e6b1f6463299122b,25,orlin_double,IEEE 754 binary64,-15,PASS_KNOWN,-15,0.0759422,
datasets\varied\concave_n25.sfm,509df07c8167a019567263d4ca05506d4e8cb30c5e5450f9e6b1f6463299122b,25,julia,Float64,-15,PASS_KNOWN,-15,0.0007463,
datasets\varied\concave_n25.sfm,509df07c8167a019567263d4ca05506d4e8cb30c5e5450f9e6b1f6463299122b,25,matlab,Float64,-15,PASS_KNOWN,-15,0.0080077,
datasets\varied\concave_n50.sfm,f33f313c949b3a3d6a6f45ad435b5a038f3fbfc951d5a883e41dde2c45753b10,50,orlin,Boost cpp_rational,-30,TIMEOUT,,,600.0s process budget
datasets\varied\concave_n50.sfm,f33f313c949b3a3d6a6f45ad435b5a038f3fbfc951d5a883e41dde2c45753b10,50,orlin_double,IEEE 754 binary64,-30,PASS_KNOWN,-30,1.9815565,
datasets\varied\concave_n50.sfm,f33f313c949b3a3d6a6f45ad435b5a038f3fbfc951d5a883e41dde2c45753b10,50,julia,Float64,-30,PASS_KNOWN,-30,0.0141643,
datasets\varied\concave_n50.sfm,f33f313c949b3a3d6a6f45ad435b5a038f3fbfc951d5a883e41dde2c45753b10,50,matlab,Float64,-30,PASS_KNOWN,-30,0.0080485,
datasets\varied\coverage_100x120.sfm,84dc0c2f70102777e5b1919f6d0d1fc4fb1547f15cb59bdf6922c41225bd8cd8,100,orlin,Boost cpp_rational,-1362,PASS_KNOWN,-1362,0.0362916,
datasets\varied\coverage_100x120.sfm,84dc0c2f70102777e5b1919f6d0d1fc4fb1547f15cb59bdf6922c41225bd8cd8,100,orlin_double,IEEE 754 binary64,-1362,PASS_KNOWN,-1362,0.0320862,
datasets\varied\coverage_100x120.sfm,84dc0c2f70102777e5b1919f6d0d1fc4fb1547f15cb59bdf6922c41225bd8cd8,100,julia,Float64,-1362,PASS_KNOWN,-1362,0.0425401,
datasets\varied\coverage_100x120.sfm,84dc0c2f70102777e5b1919f6d0d1fc4fb1547f15cb59bdf6922c41225bd8cd8,100,matlab,Float64,-1362,PASS_KNOWN,-1362,0.0427003,
datasets\varied\coverage_12x16.sfm,ca4ec79031a768380138060dfdc93127de19668e86a6c50511754ae3e62921f1,12,orlin,Boost cpp_rational,-6,PASS_KNOWN,-6,0.0003762,
datasets\varied\coverage_12x16.sfm,ca4ec79031a768380138060dfdc93127de19668e86a6c50511754ae3e62921f1,12,orlin_double,IEEE 754 binary64,-6,PASS_KNOWN,-6,0.0002258,
datasets\varied\coverage_12x16.sfm,ca4ec79031a768380138060dfdc93127de19668e86a6c50511754ae3e62921f1,12,julia,Float64,-6,PASS_KNOWN,-6,0.0006583,
datasets\varied\coverage_12x16.sfm,ca4ec79031a768380138060dfdc93127de19668e86a6c50511754ae3e62921f1,12,matlab,Float64,-6,PASS_KNOWN,-6,0.0059934,
datasets\varied\coverage_140x180.sfm,946b26d84572341eb6d67f365fd5f50655e496d8f39039d41027eccfa963f7b1,140,orlin,Boost cpp_rational,-2042,PASS_KNOWN,-2042,0.1074005,
datasets\varied\coverage_140x180.sfm,946b26d84572341eb6d67f365fd5f50655e496d8f39039d41027eccfa963f7b1,140,orlin_double,IEEE 754 binary64,-2042,PASS_KNOWN,-2042,0.0904055,
datasets\varied\coverage_140x180.sfm,946b26d84572341eb6d67f365fd5f50655e496d8f39039d41027eccfa963f7b1,140,julia,Float64,-2042,PASS_KNOWN,-2042,0.077884,
datasets\varied\coverage_140x180.sfm,946b26d84572341eb6d67f365fd5f50655e496d8f39039d41027eccfa963f7b1,140,matlab,Float64,-2042,PASS_KNOWN,-2042,0.1108951,
datasets\varied\coverage_30x40.sfm,01af0695b61babf80d1cda6ce1788988e4a00ebbf16f1176f12181e49ae6fdf6,30,orlin,Boost cpp_rational,-201,PASS_KNOWN,-201,0.0025512,
